id,text,label
900,Started suddenly: runny nose for 3 days no shortness of breath or chest pain sustained blunt trauma.,self-monitor
4832,Airway obstruction,emergency
2942,Moderate chest pain started 2 days need urgent check,urgent-care
176,dizziness,self-monitor
1590,Persistent fever and nausea for several hours.,doctor
2787,Fainting.,urgent-care
1618,Strong cough intermittently,doctor
1999,Began after eating: ear pain for 1 day,doctor
211,Fatigue for a week,self-monitor
4171,unconscious started suddenly,emergency
1331,Vomiting and watery eyes for 3 days,doctor
208,After the accident: runny nose.,self-monitor
1586,Worsening cough intermittently,doctor
4881,airway obstruction sustained blunt trauma,emergency
3630,A 70-year-old worsening shortness of breath,urgent-care
721,headache.,self-monitor
972,Watery eyes,self-monitor
3633,Confusion,urgent-care
2754,high fever with rash need urgent check,urgent-care
2557,severe vomiting started 2 days need urgent check.,urgent-care
4478,severe bleeding,emergency
2067,Vision changes and sore throat since this morning,doctor
3304,Moderate chest pain started 3 days,urgent-care
1116,Chills for 2 days,self-monitor
3021,severe abdominal pain started intermittently,urgent-care
2049,Started gradually: persistent bleeding and lightheadedness for 3 days,doctor
4313,Severe chest pain.,emergency
2374,A 70-year-old severe sore throat and sore throat since this morning.,doctor
1533,Vomiting and low fever for 1 day.,doctor
4402,Difficulty breathing started suddenly,emergency
150,mild stomach pain for 3 days,self-monitor
4268,severe head trauma started suddenly.,emergency
4135,very low blood pressure started suddenly loss of consciousness,emergency
605,diarrhea no shortness of breath or chest pain,self-monitor
3563,dehydration started since this morning,urgent-care
2231,high fever and runny nose intermittently,doctor
3391,dehydration,urgent-care
1962,ear pain for 1 day after a fall.,doctor
1195,dizziness for a week no shortness of breath or chest pain,self-monitor
3157,dehydration need urgent check,urgent-care
2023,A 70-year-old vomiting and back ache for several hours,doctor
1689,I'm 62 worsening cough and stuffy nose for several hours,doctor
3215,Severe vomiting started since this morning,urgent-care
169,began after eating: back ache for a week no shortness of breath or chest pain,self-monitor
3491,I am 25 years old severe vomiting need urgent check,urgent-care
840,Stuffy nose for a week no shortness of breath or chest pain.,self-monitor
2121,persistent bleeding for a week symptoms are getting worse.,doctor
2981,I'm 62 severe abdominal pain.,urgent-care
2535,A 70-year-old severe vomiting,urgent-care
4187,one-sided weakness call emergency services,emergency
832,mild cough for 1 day.,self-monitor
1959,I'm 62 severe sore throat and back ache for a week,doctor
4528,Sudden confusion started suddenly call emergency services,emergency
3416,dehydration need urgent check,urgent-care
2882,Worsening shortness of breath,urgent-care
4582,After exercise: seizure,emergency
3417,difficulty breathing started intermittently need urgent check,urgent-care
3474,Fainting started a week need urgent check.,urgent-care
3139,woke up with: A child aged 8 sudden dizziness need urgent check,urgent-care
3862,Seizure.,emergency
1310,ear pain and mild stomach pain for 1 day,doctor
2149,A 40-year-old ear pain and watery eyes for 1 day,doctor
3533,Worsening shortness of breath.,urgent-care
3725,moderate chest pain.,urgent-care
187,Age 18 chills no shortness of breath or chest pain,self-monitor
4871,airway obstruction started suddenly call emergency services,emergency
728,After the accident: stuffy nose for 3 days,self-monitor
3268,A 70-year-old severe abdominal pain started 2 days need urgent check.,urgent-care
926,mild cough since this morning.,self-monitor
4520,sudden confusion call emergency services,emergency
2119,Strong cough and lightheadedness for a week symptoms are getting worse,doctor
4529,difficulty breathing started suddenly.,emergency
2590,sudden dizziness need urgent check.,urgent-care
1291,Age 18 new lump intermittently symptoms are getting worse,doctor
2780,severe abdominal pain started 2 days,urgent-care
4945,Sudden confusion started suddenly.,emergency
4393,Severe bleeding started suddenly call emergency services,emergency
1228,Tiredness for 1 day,self-monitor
569,tiredness for a week,self-monitor
1610,new lump and runny nose since this morning,doctor
251,fatigue no shortness of breath or chest pain,self-monitor
4719,started gradually: slurred speech started suddenly,emergency
4931,after exercise: one-sided weakness,emergency
4700,severe chest pain started suddenly.,emergency
3722,Fainting need urgent check,urgent-care
1841,I'm 62 ear pain for 2 days,doctor
2668,Sudden dizziness started 3 days need urgent check,urgent-care
60,headache since this morning no shortness of breath or chest pain,self-monitor
3093,high fever with rash started a week.,urgent-care
977,headache for several hours.,self-monitor
4481,airway obstruction started suddenly,emergency
4988,Airway obstruction started suddenly call emergency services.,emergency
712,After the accident: fatigue no shortness of breath or chest pain,self-monitor
1123,began after eating: low fever,self-monitor
4830,Severe chest pain,emergency
3721,Difficulty breathing,urgent-care
3586,fainting started 3 days.,urgent-care
647,Nausea,self-monitor
245,Lightheadedness.,self-monitor
236,started gradually: joint pain,self-monitor
4907,severe head trauma,emergency
3265,Severe abdominal pain started since this morning,urgent-care
1096,began after eating: A child aged 8 back ache for 1 day,self-monitor
1830,A 70-year-old sinus pain and fatigue for 1 day symptoms are getting worse,doctor
2709,Confusion,urgent-care
4586,began after eating: difficulty breathing started suddenly,emergency
2271,A 40-year-old significant weight loss and dizziness since this morning symptoms are getting worse,doctor
1678,Strong cough for 2 days symptoms are getting worse,doctor
514,chills hit head on the floor,self-monitor
2731,moderate chest pain need urgent check,urgent-care
1587,sinus pain intermittently,doctor
2837,Started suddenly: moderate chest pain,urgent-care
4044,very low blood pressure started suddenly,emergency
244,Watery eyes,self-monitor
4299,Severe bleeding,emergency
4318,Suspected stroke,emergency
1373,Persistent fever and lightheadedness since yesterday,doctor
3036,Dehydration started since yesterday need urgent check,urgent-care
2041,started suddenly: worsening cough for several hours,doctor
92,Sore throat,self-monitor
127,sore throat for a week.,self-monitor
753,tiredness,self-monitor
3211,Worsening shortness of breath,urgent-care
3386,sudden dizziness,urgent-care
2994,I'm 62 severe vomiting,urgent-care
596,Muscle ache intermittently,self-monitor
4111,suspected stroke,emergency
2395,Strong cough and sore throat for 1 day.,doctor
475,watery eyes,self-monitor
331,dizziness no shortness of breath or chest pain,self-monitor
285,A 40-year-old dizziness for 2 days,self-monitor
3558,Difficulty breathing need urgent check hit head on the floor,urgent-care
3863,suspected stroke started suddenly,emergency
3882,Very low blood pressure started suddenly,emergency
2763,high fever with rash started several hours need urgent check after a fall,urgent-care
1920,Started gradually: persistent bleeding and stuffy nose for 1 day symptoms are getting worse,doctor
3461,severe vomiting,urgent-care
4831,One-sided weakness,emergency
1086,after exercise: I am 25 years old itchy eyes intermittently,self-monitor
2932,I am 25 years old sudden dizziness started since yesterday.,urgent-care
217,diarrhea since yesterday no shortness of breath or chest pain,self-monitor
4188,severe head trauma started suddenly,emergency
666,After exercise: lightheadedness,self-monitor
1397,A child aged 8 new lump and dizziness for 2 days,doctor
506,Muscle ache for several hours,self-monitor
839,stuffy nose no shortness of breath or chest pain,self-monitor
3275,difficulty breathing,urgent-care
3455,moderate chest pain started since this morning.,urgent-care
2804,Difficulty breathing started intermittently,urgent-care
4999,Slurred speech started suddenly,emergency
3041,I am 25 years old difficulty breathing need urgent check.,urgent-care
1800,Worsening cough intermittently,doctor
4647,Sudden confusion call emergency services,emergency
2294,vomiting and chills for 3 days symptoms are getting worse,doctor
204,dizziness.,self-monitor
182,mild stomach pain,self-monitor
2354,severe sore throat and muscle ache for 2 days symptoms are getting worse,doctor
1643,Persistent fever and watery eyes for several hours.,doctor
1263,vision changes and mild cough since yesterday,doctor
785,Low fever since this morning,self-monitor
3769,Unconscious after a sports injury.,emergency
3589,severe abdominal pain need urgent check,urgent-care
143,watery eyes no shortness of breath or chest pain.,self-monitor
2375,Persistent fever and diarrhea since this morning,doctor
2486,Persistent bleeding and watery eyes since yesterday.,doctor
1340,I am 25 years old productive cough and runny nose for 2 days symptoms are getting worse,doctor
3803,one-sided weakness started suddenly loss of consciousness.,emergency
4047,Severe chest pain call emergency services.,emergency
3606,Severe abdominal pain started 1 day,urgent-care
4986,seizure started suddenly,emergency
3161,worsening shortness of breath need urgent check,urgent-care
4570,seizure started suddenly,emergency
4391,airway obstruction call emergency services,emergency
2314,I am 25 years old vision changes for 2 days after a sports injury.,doctor
3105,Age 18 severe vomiting started a week need urgent check,urgent-care
3206,Difficulty breathing,urgent-care
4740,After exercise: airway obstruction,emergency
3871,severe chest pain started suddenly,emergency
2504,Worsening shortness of breath started several hours,urgent-care
482,headache since yesterday,self-monitor
394,lightheadedness,self-monitor
580,sore throat for 2 days,self-monitor
3821,unconscious started suddenly call emergency services.,emergency
2090,abdominal pain for 1 day.,doctor
4814,slurred speech,emergency
4759,severe chest pain started suddenly,emergency
1502,A child aged 8 significant weight loss for 1 day,doctor
4541,airway obstruction started suddenly loss of consciousness,emergency
3255,severe abdominal pain started intermittently,urgent-care
4328,One-sided weakness,emergency
2876,Severe abdominal pain started since yesterday cut while working.,urgent-care
185,watery eyes for a week no shortness of breath or chest pain,self-monitor
4489,very low blood pressure started suddenly call emergency services.,emergency
3792,Airway obstruction,emergency
2935,A 70-year-old dehydration started 2 days,urgent-care
2725,difficulty breathing,urgent-care
4600,Seizure started suddenly,emergency
4533,Severe head trauma.,emergency
4246,sudden confusion started suddenly,emergency
1149,Muscle ache for a week no shortness of breath or chest pain,self-monitor
2053,strong cough for several hours symptoms are getting worse.,doctor
1864,Abdominal pain and diarrhea for 3 days.,doctor
3661,confusion need urgent check,urgent-care
2940,severe vomiting need urgent check.,urgent-care
149,A 70-year-old nausea no shortness of breath or chest pain,self-monitor
199,itchy eyes,self-monitor
1174,fatigue,self-monitor
3046,Dehydration started a week after a fall.,urgent-care
4980,sudden confusion.,emergency
46,back ache intermittently.,self-monitor
1994,Abdominal pain and tiredness intermittently symptoms are getting worse,doctor
6,Mild stomach pain since this morning no shortness of breath or chest pain,self-monitor
4799,difficulty breathing call emergency services,emergency
4060,severe head trauma loss of consciousness,emergency
1758,severe sore throat for 2 days symptoms are getting worse,doctor
703,started gradually: back ache no shortness of breath or chest pain,self-monitor
4776,Severe head trauma,emergency
1056,Sore throat,self-monitor
3562,Confusion started 3 days.,urgent-care
1159,Sneezing for 2 days no shortness of breath or chest pain,self-monitor
3352,fainting started since yesterday.,urgent-care
1019,joint pain for a week no shortness of breath or chest pain.,self-monitor
2867,moderate chest pain sustained blunt trauma,urgent-care
387,I am 25 years old fatigue,self-monitor
3901,Difficulty breathing call emergency services,emergency
1211,tiredness no shortness of breath or chest pain,self-monitor
4664,Slurred speech started suddenly,emergency
4123,one-sided weakness.,emergency
3108,sudden dizziness need urgent check,urgent-care
2795,high fever with rash need urgent check,urgent-care
3364,Severe vomiting,urgent-care
1258,Strong cough for 2 days symptoms are getting worse,doctor
347,After the accident: mild cough,self-monitor
663,lightheadedness since yesterday no shortness of breath or chest pain.,self-monitor
1175,muscle ache since this morning,self-monitor
4362,severe head trauma.,emergency
1244,fatigue for several hours no shortness of breath or chest pain,self-monitor
532,headache,self-monitor
4805,Difficulty breathing,emergency
1321,persistent bleeding and back ache for 1 day,doctor
2246,Persistent bleeding and headache for several hours.,doctor
2385,vomiting and stuffy nose for several hours,doctor
4763,Seizure started suddenly following a car accident,emergency
3145,dehydration need urgent check,urgent-care
4957,sudden confusion,emergency
3168,worsening shortness of breath started intermittently need urgent check,urgent-care
188,joint pain,self-monitor
4094,seizure call emergency services,emergency
215,after the accident: watery eyes for 1 day after a fall,self-monitor
3174,A 70-year-old difficulty breathing started 1 day need urgent check,urgent-care
3061,Woke up with: severe abdominal pain,urgent-care
485,I'm 62 back ache for 1 day.,self-monitor
108,Mild cough since yesterday,self-monitor
2212,A 70-year-old vomiting and back ache for several hours,doctor
120,started suddenly: dizziness for several hours.,self-monitor
238,joint pain,self-monitor
420,Muscle ache.,self-monitor
2528,Age 18 moderate chest pain started a week,urgent-care
4863,difficulty breathing,emergency
4212,suspected stroke call emergency services,emergency
1136,A 40-year-old lightheadedness no shortness of breath or chest pain.,self-monitor
2238,significant weight loss and itchy eyes for a week symptoms are getting worse,doctor
1623,persistent bleeding and mild stomach pain intermittently,doctor
75,Muscle ache intermittently,self-monitor
1224,lightheadedness intermittently,self-monitor
4159,severe chest pain started suddenly loss of consciousness.,emergency
31,Mild cough for 1 day,self-monitor
1105,tiredness,self-monitor
2770,severe vomiting started a week,urgent-care
2924,Fainting need urgent check,urgent-care
4996,Unconscious,emergency
3044,dehydration,urgent-care
1555,Vision changes and nausea for several hours,doctor
1713,significant weight loss and fatigue for a week,doctor
3154,After exercise: dehydration started 1 day.,urgent-care
2296,A 70-year-old persistent bleeding for 2 days symptoms are getting worse,doctor
1100,sneezing for several hours,self-monitor
4872,Seizure started suddenly,emergency
2955,High fever with rash need urgent check.,urgent-care
423,fatigue for a week no shortness of breath or chest pain,self-monitor
327,low fever for several hours,self-monitor
3088,Severe vomiting started intermittently need urgent check,urgent-care
1122,After the accident: sore throat for 2 days,self-monitor
15,Joint pain,self-monitor
3867,airway obstruction call emergency services,emergency
4947,unconscious started suddenly,emergency
3915,sudden confusion started suddenly,emergency
246,diarrhea,self-monitor
2681,I'm 62 severe vomiting started 3 days,urgent-care
904,began after eating: mild cough,self-monitor
262,tiredness for 2 days no shortness of breath or chest pain.,self-monitor
25,A child aged 8 lightheadedness for 2 days.,self-monitor
2861,confusion started intermittently,urgent-care
3015,fainting,urgent-care
2938,Difficulty breathing started since this morning.,urgent-care
64,fatigue since this morning no shortness of breath or chest pain,self-monitor
2440,Began after eating: high fever and sore throat for several hours,doctor
2495,I'm 62 vomiting and tiredness for 1 day.,doctor
1544,New lump and headache since this morning,doctor
2032,Vomiting for 1 day symptoms are getting worse,doctor
3469,Confusion need urgent check.,urgent-care
1124,lightheadedness,self-monitor
2203,High fever and joint pain for a week symptoms are getting worse,doctor
4755,one-sided weakness started suddenly.,emergency
340,A 40-year-old sore throat since yesterday,self-monitor
4839,unconscious,emergency
4895,one-sided weakness started suddenly call emergency services.,emergency
2,I am 25 years old fatigue for 1 day,self-monitor
688,Diarrhea,self-monitor
4641,severe bleeding,emergency
2099,high fever and lightheadedness for 3 days,doctor
2548,fainting started a week,urgent-care
4114,Severe head trauma,emergency
2862,sudden dizziness started 2 days,urgent-care
2825,moderate chest pain started since this morning.,urgent-care
3279,A 40-year-old confusion need urgent check.,urgent-care
671,Watery eyes,self-monitor
2208,A child aged 8 blood in stool for 1 day symptoms are getting worse,doctor
310,After the accident: low fever since yesterday no shortness of breath or chest pain.,self-monitor
1359,after exercise: blood in stool and lightheadedness since yesterday after a fall,doctor
3842,slurred speech started suddenly call emergency services.,emergency
4124,unconscious started suddenly,emergency
521,Fatigue for a week,self-monitor
811,A 40-year-old sneezing no shortness of breath or chest pain.,self-monitor
87,Stuffy nose no shortness of breath or chest pain,self-monitor
1464,vomiting and low fever for a week symptoms are getting worse,doctor
3870,Seizure,emergency
3549,Difficulty breathing started 2 days,urgent-care
2684,Sudden dizziness started since this morning,urgent-care
3001,confusion started 1 day,urgent-care
620,Low fever no shortness of breath or chest pain,self-monitor
3512,Began after eating: difficulty breathing,urgent-care
3219,Sudden dizziness need urgent check,urgent-care
1785,Age 18 strong cough and watery eyes for 2 days.,doctor
2910,Dehydration started since yesterday need urgent check,urgent-care
3313,Moderate chest pain started several hours cut while working,urgent-care
2864,severe vomiting started 1 day need urgent check,urgent-care
4291,sudden confusion started suddenly,emergency
4754,Severe chest pain call emergency services,emergency
606,Mild cough,self-monitor
3085,Worsening shortness of breath started since yesterday,urgent-care
3237,I'm 62 confusion,urgent-care
1904,A child aged 8 abdominal pain and stuffy nose since this morning,doctor
1425,A 40-year-old persistent bleeding and mild stomach pain for 1 day,doctor
3171,dehydration.,urgent-care
952,woke up with: joint pain since yesterday,self-monitor
4790,severe head trauma started suddenly call emergency services.,emergency
1445,Productive cough and sneezing for 3 days,doctor
219,tiredness for 2 days,self-monitor
3887,severe chest pain call emergency services,emergency
3306,I am 25 years old severe vomiting started 2 days need urgent check,urgent-care
2518,high fever with rash need urgent check,urgent-care
2903,severe abdominal pain started several hours following a car accident,urgent-care
1903,I'm 62 worsening cough and diarrhea since this morning.,doctor
1341,Ear pain and fatigue since yesterday,doctor
3611,dehydration need urgent check,urgent-care
626,mild stomach pain for 2 days no shortness of breath or chest pain,self-monitor
2349,Woke up with: A child aged 8 ear pain for 3 days symptoms are getting worse.,doctor
3638,A 40-year-old severe vomiting need urgent check,urgent-care
2532,severe vomiting,urgent-care
4209,seizure,emergency
3272,difficulty breathing.,urgent-care
2179,significant weight loss for 3 days,doctor
918,I am 25 years old itchy eyes no shortness of breath or chest pain,self-monitor
1969,Ear pain and muscle ache for 3 days,doctor
951,Runny nose since this morning.,self-monitor
4674,Suspected stroke started suddenly call emergency services,emergency
3619,Sudden dizziness started several hours,urgent-care
677,I'm 62 mild stomach pain for a week,self-monitor
494,watery eyes,self-monitor
2218,A child aged 8 strong cough for a week,doctor
746,chills,self-monitor
4925,unconscious started suddenly,emergency
299,stuffy nose since this morning no shortness of breath or chest pain,self-monitor
4229,severe chest pain started suddenly loss of consciousness.,emergency
4173,Sudden confusion after a fall,emergency
4971,Airway obstruction started suddenly,emergency
3623,moderate chest pain,urgent-care
3999,slurred speech,emergency
2193,I'm 62 abdominal pain and runny nose for a week,doctor
2963,confusion started since this morning,urgent-care
3019,started gradually: sudden dizziness started 3 days,urgent-care
329,Low fever,self-monitor
2386,Age 18 vomiting and mild stomach pain for a week symptoms are getting worse hit head on the floor,doctor
1664,Age 18 significant weight loss and sneezing for 1 day symptoms are getting worse,doctor
1434,Age 18 abdominal pain for several hours symptoms are getting worse,doctor
3150,severe vomiting,urgent-care
4034,severe head trauma.,emergency
3559,moderate chest pain,urgent-care
853,after the accident: runny nose no shortness of breath or chest pain,self-monitor
3367,Sudden dizziness started 3 days,urgent-care
2929,Began after eating: severe vomiting hit head on the floor,urgent-care
3924,Airway obstruction started suddenly.,emergency
74,sneezing,self-monitor
1598,A 70-year-old persistent fever and runny nose for 2 days symptoms are getting worse.,doctor
2811,Sudden dizziness need urgent check,urgent-care
91,Nausea,self-monitor
1789,A child aged 8 strong cough and dizziness for 3 days,doctor
2190,I am 25 years old worsening cough and sneezing for 3 days,doctor
2085,High fever for 3 days,doctor
2342,I am 25 years old new lump and joint pain for 2 days.,doctor
4542,One-sided weakness,emergency
4065,Very low blood pressure started suddenly call emergency services,emergency
1141,Began after eating: joint pain for 1 day,self-monitor
2223,Age 18 high fever for 1 day,doctor
3903,Slurred speech started suddenly loss of consciousness.,emergency
1634,sinus pain for several hours,doctor
2749,Severe vomiting started 3 days need urgent check,urgent-care
2584,Severe vomiting,urgent-care
1811,sinus pain for 2 days,doctor
683,Headache intermittently no shortness of breath or chest pain,self-monitor
1658,Began after eating: persistent bleeding and diarrhea since this morning,doctor
2429,Vision changes for 3 days,doctor
3669,Age 18 worsening shortness of breath started 2 days.,urgent-care
4828,seizure started suddenly.,emergency
2250,Started gradually: I'm 62 sinus pain and mild stomach pain for 2 days symptoms are getting worse,doctor
184,Back ache for a week,self-monitor
4920,unconscious started suddenly.,emergency
4476,started suddenly: seizure,emergency
2278,A child aged 8 persistent fever and runny nose for 3 days,doctor
2444,after the accident: I am 25 years old vomiting for several hours symptoms are getting worse.,doctor
871,I'm 62 headache,self-monitor
3750,Fainting started 1 day need urgent check,urgent-care
1160,A child aged 8 mild cough for a week.,self-monitor
4944,One-sided weakness started suddenly.,emergency
1946,started gradually: high fever and watery eyes since this morning symptoms are getting worse,doctor
844,diarrhea since yesterday,self-monitor
50,Diarrhea,self-monitor
594,A 70-year-old mild cough,self-monitor
90,Chills.,self-monitor
3383,severe abdominal pain started 3 days,urgent-care
1925,blood in stool and mild cough for a week following a car accident,doctor
3283,Sudden dizziness started since this morning,urgent-care
2115,Worsening cough and nausea since yesterday.,doctor
2116,woke up with: Age 18 severe sore throat for several hours symptoms are getting worse,doctor
3370,Severe vomiting started a week,urgent-care
2703,severe vomiting started since yesterday need urgent check,urgent-care
4546,Seizure,emergency
1817,severe sore throat for 3 days.,doctor
3697,A 70-year-old severe vomiting.,urgent-care
2081,after the accident: vomiting and sore throat for a week,doctor
1407,Severe sore throat and mild stomach pain for several hours.,doctor
4102,slurred speech started suddenly call emergency services,emergency
3129,Moderate chest pain started since yesterday,urgent-care
321,sore throat no shortness of breath or chest pain.,self-monitor
4951,woke up with: one-sided weakness started suddenly,emergency
3010,moderate chest pain started since this morning,urgent-care
3876,woke up with: sudden confusion.,emergency
4677,Started gradually: airway obstruction started suddenly call emergency services sustained blunt trauma.,emergency
578,after the accident: tiredness no shortness of breath or chest pain.,self-monitor
2879,Started suddenly: severe vomiting started 1 day need urgent check,urgent-care
2856,Age 18 high fever with rash started intermittently,urgent-care
3676,moderate chest pain started since yesterday,urgent-care
3410,High fever with rash started intermittently need urgent check.,urgent-care
3843,slurred speech started suddenly after a fall,emergency
4921,difficulty breathing started suddenly,emergency
249,started gradually: watery eyes for 1 day no shortness of breath or chest pain.,self-monitor
3194,high fever with rash started a week need urgent check,urgent-care
1465,Worsening cough for a week,doctor
3997,Severe bleeding started suddenly,emergency
4351,One-sided weakness started suddenly,emergency
3693,High fever with rash started intermittently,urgent-care
3617,fainting started 3 days.,urgent-care
3084,dehydration started since yesterday,urgent-care
4085,Difficulty breathing call emergency services,emergency
3981,After the accident: sudden confusion started suddenly call emergency services.,emergency
3414,severe vomiting started 3 days need urgent check,urgent-care
3690,began after eating: Age 18 sudden dizziness,urgent-care
3389,moderate chest pain need urgent check,urgent-care
1093,stuffy nose for 1 day,self-monitor
4702,severe bleeding started suddenly,emergency
1074,Sore throat no shortness of breath or chest pain.,self-monitor
4937,Airway obstruction started suddenly,emergency
4738,Severe head trauma call emergency services.,emergency
955,dizziness,self-monitor
1609,I'm 62 high fever and lightheadedness since this morning,doctor
4455,Airway obstruction call emergency services,emergency
1013,diarrhea for a week no shortness of breath or chest pain,self-monitor
2330,A 40-year-old strong cough and muscle ache since yesterday,doctor
3574,Sudden dizziness need urgent check,urgent-care
991,sore throat for 1 day.,self-monitor
2125,high fever and joint pain for several hours.,doctor
508,runny nose since yesterday,self-monitor
969,Started gradually: watery eyes no shortness of breath or chest pain.,self-monitor
780,sneezing no shortness of breath or chest pain following a car accident,self-monitor
1578,persistent fever and headache for 2 days.,doctor
643,chills,self-monitor
2878,Moderate chest pain started a week,urgent-care
2344,Productive cough and mild cough for 3 days symptoms are getting worse,doctor
2350,I'm 62 severe sore throat and sneezing for several hours,doctor
1389,Significant weight loss and low fever for several hours symptoms are getting worse.,doctor
535,Stuffy nose,self-monitor
1706,Age 18 vomiting and sore throat for 1 day,doctor
1980,new lump and mild stomach pain for 1 day.,doctor
1274,blood in stool and low fever for a week,doctor
3307,worsening shortness of breath need urgent check,urgent-care
3104,high fever with rash,urgent-care
